AreaCode,City,State,Region
201,Bayonne,New Jersey,Middle Atlantic
201,Bergenfield,New Jersey,Middle Atlantic
201,Cliffside Park,New Jersey,Middle Atlantic
201,Englewood,New Jersey,Middle Atlantic
201,Fair Lawn,New Jersey,Middle Atlantic
201,Fort Lee,New Jersey,Middle Atlantic
201,Hackensack,New Jersey,Middle Atlantic
201,Hoboken,New Jersey,Middle Atlantic
201,Jersey City,New Jersey,Middle Atlantic
201,Kearny,New Jersey,Middle Atlantic
201,North Bergen,New Jersey,Middle Atlantic
201,Paramus,New Jersey,Middle Atlantic
201,Ridgewood,New Jersey,Middle Atlantic
201,Teaneck,New Jersey,Middle Atlantic
201,Union City,New Jersey,Middle Atlantic
201,West New York,New Jersey,Middle Atlantic
202,Washington,District of Columbia,South Atlantic
203,Bridgeport,Connecticut,New England
203,Danbury,Connecticut,New England
203,East Haven,Connecticut,New England
203,Meriden,Connecticut,New England
203,Milford,Connecticut,New England
203,Naugatuck,Connecticut,New England
203,New Haven,Connecticut,New England
203,North Haven,Connecticut,New England
203,Norwalk,Connecticut,New England
203,Shelton,Connecticut,New England
203,Stamford,Connecticut,New England
203,Stratford,Connecticut,New England
203,Trumbull,Connecticut,New England
203,Waterbury,Connecticut,New England
203,West Haven,Connecticut,New England
203,Westport,Connecticut,New England
205,Alabaster,Alabama,East South Central
205,Bessemer,Alabama,East South Central
205,Birmingham,Alabama,East South Central
205,Center Point,Alabama,East South Central
205,Homewood,Alabama,East South Central
205,Hoover,Alabama,East South Central
205,Mountain Brook,Alabama,East South Central
205,Tuscaloosa,Alabama,East South Central
205,Vestavia Hills,Alabama,East South Central
206,Bainbridge Island,Washington,Pacific
206,Burien,Washington,Pacific
206,Des Moines,Washington,Pacific
206,Mercer Island,Washington,Pacific
206,Seattle,Washington,Pacific
206,Shoreline,Washington,Pacific
206,White Center,Washington,Pacific
207,Auburn,Maine,New England
207,Augusta,Maine,New England
207,Bangor,Maine,New England
207,Biddeford,Maine,New England
207,Brunswick,Maine,New England
207,Lewiston,Maine,New England
207,South Portland,Maine,New England
207,South Portland,Maine,New England
208,Boise,Idaho,Mountain
208,Caldwell,Idaho,Mountain
208,Coeur d'Alene,Idaho,Mountain
208,Idaho Falls,Idaho,Mountain
208,Lewiston,Idaho,Mountain
208,Meridian,Idaho,Mountain
208,Moscow,Idaho,Mountain
208,Nampa,Idaho,Mountain
208,Pocatello,Idaho,Mountain
208,Twin Falls,Idaho,Mountain
209,Atwater,California,Pacific
209,Ceres,California,Pacific
209,Lodi,California,Pacific
209,Los Banos,California,Pacific
209,Manteca,California,Pacific
209,Merced,California,Pacific
209,West Modesto,California,Pacific
209,Stockton,California,Pacific
209,Tracy,California,Pacific
209,Turlock,California,Pacific
210,San Antonio,Texas,West South Central
212,New York City,New York,Middle Atlantic
